"","","Movie Title","Distributor","Gross","%LW","Theaters","TheatersChange","PerTheater","TotalGross","Weekends InRelease"
"1","(-)","KPop Demon Hunters Sing-Along Event","Netflix","$19,200,000","","1,700","","$11,294","$19,200,000","10"
"2","(1)","Weapons","Warner Bros.","$15,401,136","-37%","3,631","+181","$4,242","$115,681,959","3"
"3","(2)","Freakier Friday","Walt Disney","$8,896,175","-38%","3,675","-300","$2,421","$70,236,883","3"
"4","(4)","The Fantastic Four: First Steps","Walt Disney","$6,008,949","-33%","3,190","-165","$1,884","$257,360,900","5"
"5","(5)","The Bad Guys 2","Universal","$5,108,195","-32%","3,288","-92","$1,554","$66,186,225","4"
"6","(3)","Nobody 2","Universal","$3,710,410","-60%","3,282","+22","$1,131","$16,556,995","2"
"7","(6)","Superman","Warner Bros.","$3,410,564","-35%","2,338","-317","$1,459","$346,955,745","7"
"8","N","Honey Don’t","Focus Features","$3,025,525","","1,317","","$2,297","$3,025,525","1"
"9","(7)","The Naked Gun","Paramount Pi…","$2,986,723","-39%","2,776","-251","$1,076","$47,600,072","4"
"10","(8)","Jurassic World Rebirth","Universal","$2,112,865","-29%","2,100","-170","$1,006","$335,592,675","8"
"11","N","Relay","Bleecker Street","$1,916,687","","1,483","","$1,292","$1,916,687","1"
"12","(9)","F1: The Movie","Warner Bros.","$1,751,346","-35%","1,021","-151","$1,715","$185,849,586","9"
"13","(-)","Ne Zha 2","A24","$1,547,499","","2,228","","$695","$18,548,985","28"
"14","N","Eden","Vertical Ent…","$1,048,374","","664","","$1,579","$1,048,374","1"
"-","(-)","Together","Neon","$414,223","-62%","439","-861","$944","$20,715,563","4"
"-","(-)","How to Train Your Dragon","Universal","$388,395","+108%","1,178","+935","$330","$262,537,705","11"
"-","(-)","Black Swan","Fox Searchlight","$378,276","","200","","$1,891","$107,770,258","769"
"-","(-)","Shin Godzilla","GKIDS","$349,098","-79%","760","-530","$459","$5,601,605","463"
"-","(-)","Sketch","Angel Studios","$246,568","-74%","627","-1,227","$393","$7,816,847","3"
"-","N","Trust","Republic Pic…","$240,635","","432","","$557","$240,635","1"
"-","N","Hell House LLC: Lineage","Iconic Relea…","$152,884","","387","","$395","$297,238","1"
"-","(-)","I Know What You Did Last Summer","Sony Pictures","$145,313","-44%","139","-213","$1,045","$32,147,373","6"
"-","(-)","It’s Never Over, Jeff Buckley","Magnolia Pic…","$139,509","-38%","134","-61","$1,041","$1,190,387","3"
"-","N","Splitsville","Neon","$108,315","","5","","$21,663","$108,315","1"
"-","N","Dongji Rescue","Well Go USA","$70,151","","66","","$1,063","$70,151","1"
